symbol,model_total_return,oracle_total_return,return_gap,capture_ratio,model_cagr,oracle_cagr,model_trade_count,oracle_trade_count,action_match_rate
ETH-USD,0.14942872437260712,4284.3058698828845,4284.156441158512,3.4878164377346824e-05,0.020311011915260746,2.344999907756856,1086,1261,0.5261075949367089
SOL-USD,0.6170086772852188,128181.44807792104,128180.83106924375,4.813556770790586e-06,0.08403025142488296,6.203940425896301,894,1055,0.5216191352345906
BNB-USD,-0.051087611397468424,2438.7225882269227,2438.7736758383203,-2.0948512817364667e-05,-0.007542677395476427,2.0837138804494635,1081,1239,0.5114715189873418
XRP-USD,-0.15729898927371577,8541.74883120224,8541.906130191514,-1.841531428542089e-05,-0.024407336647389255,2.6953494475026476,1060,1311,0.5098892405063291
ADA-USD,-0.11764134236922708,28258.27896992253,28258.3966112649,-4.163075270593862e-06,-0.017908191423538167,3.3920936862943947,1076,1235,0.5130537974683544
DOGE-USD,0.36789557736497214,85368.44862801574,85368.08073243838,4.309502905084282e-06,0.04626987355410628,4.152236719983826,1070,1275,0.5110759493670886
TRX-USD,-0.31755874644739746,1471.1016353220812,1471.4191940685287,-0.00021586458666254663,-0.053671628113853065,1.8667913273940475,1110,1236,0.5185917721518988
AVAX-USD,0.5376421266173115,20829.83333904055,20829.295696913934,2.5811158345162063e-05,0.0812212098968641,5.079288758807092,833,969,0.5201392342118349
DOT-USD,-0.40059475961072255,3706.920852395338,3707.3214471549486,-0.00010806671508831009,-0.08742543070496833,3.344791697984956,849,1002,0.5073457394711067
LINK-USD,0.5183753907902471,136522.49699743223,136521.97862204144,3.79699611559256e-06,0.06215537370024227,4.51361193166551,1029,1273,0.5181962025316456
LTC-USD,-0.296638916316061,6035.233995871023,6035.530634787338,-4.9151187264488026e-05,-0.049537113764319574,2.5146170540625263,1108,1257,0.5193829113924051
