symbol,samples,model_total_return,buyhold_total_return,oracle_total_return,return_gap,capture_ratio,model_sharpe,model_sortino,model_max_drawdown,buyhold_sharpe,acceptance_pass
ADA-USD,2487,-0.5522160421147895,2.009221418051535,2.409345412222489e+35,2.409345412222489e+35,-2.291975402586217e-36,0.26764236774558,0.37077832536864236,0.8990605183360916,0.5360632825645163,False
AVAX-USD,2020,-0.869782040270289,1.3519677121099964,1.8526886068037043e+34,1.8526886068037043e+34,-4.694701727403908e-35,0.038923320501674734,0.04746066551579608,0.920894917258999,0.5784978063980237,False
BNB-USD,2487,-0.9002555494924906,18.561420508529213,7.612967636853513e+26,7.612967636853513e+26,-1.1825290641384782e-27,-0.11889876475443056,-0.14092738931496945,0.9115332769960117,0.774370498048844,False
DOGE-USD,2487,-0.9531142808114134,28.83701696396376,9.063970212981252e+36,9.063970212981252e+36,-1.051541717829545e-37,0.13799968838977938,0.2741547840179669,0.9845634571476426,0.6692658903220817,False
DOT-USD,2051,-0.5033625364065057,-0.7286680777224567,8.772805667228325e+29,8.772805667228325e+29,-5.7377600222795975e-31,0.24627942523633978,0.3232500044543663,0.9534681856201074,0.21590968278828934,False
ETH-USD,2487,-0.8373840727515611,7.1653523964512384,1.5184462093496966e+29,1.5184462093496966e+29,-5.514743081417331e-30,-0.027521363935778892,-0.036062415403551304,0.8602981414499675,0.6577805774943688,False
LINK-USD,2487,-0.2170804937344194,1.620486272613387,1.7888949690247833e+39,1.7888949690247833e+39,-1.2134893187874573e-40,0.352579324978328,0.4566338001387606,0.9517073518178492,0.5475554723175783,False
LTC-USD,2487,-0.8146988111283519,-0.5434759807656546,1.4962364478256598e+31,1.4962364478256598e+31,-5.444987069472056e-32,0.04255114846288215,0.05338013025418792,0.9430592752481,0.25304211183930403,False
SOL-USD,2182,-0.5451843719530829,118.84318639095937,3.593128661184139e+38,3.593128661184139e+38,-1.5172971061198066e-39,0.34291803809194193,0.4383730122272022,0.9732461749272534,1.047721967129325,False
TRX-USD,2487,-0.8421908499864036,9.088919339811891,1.2037670710130302e+25,1.2037670710130302e+25,-6.996294135855186e-26,-0.04796107130836818,-0.052042241257296194,0.9217268010121014,0.6657848125358996,False
XRP-USD,2487,-0.951607845205561,2.540841832134544,2.731418029042285e+31,2.731418029042285e+31,-3.483933382175201e-32,0.03407222283465932,0.0357071883679043,0.9772944262987909,0.5543133884147025,False
