date,close,target_return,prediction_score,threshold,position_scale,trade_mode,model_position,oracle_position,model_return,buyhold_return,oracle_return,oracle_minus_model
2019-07-01,3.591973066329956,0.014884015328199052,0.3124555023476907,0.06,1.0,long_only,1.0,1.0,0.01388401532819905,0.01388401532819905,0.01388401532819905,0.0
2019-07-02,3.6454360485076895,-0.03079796838038673,0.47775757413450326,0.06,1.0,long_only,1.0,-1.0,-0.03079796838038673,-0.03079796838038673,0.02879796838038673,0.05959593676077346
2019-07-03,3.533164024353028,-0.013662848997419985,0.29718013831261936,0.06,1.0,long_only,1.0,-1.0,-0.013662848997419985,-0.013662848997419985,0.013662848997419985,0.02732569799483997
2019-07-04,3.484890937805176,0.039387776659725704,0.16235826469798043,0.06,1.0,long_only,1.0,1.0,0.039387776659725704,0.039387776659725704,0.0373877766597257,-0.0020000000000000018
2019-07-05,3.622153043746948,-0.04010680069147654,0.13862408206804777,0.06,1.0,long_only,1.0,-1.0,-0.04010680069147654,-0.04010680069147654,0.03810680069147654,0.07821360138295308
2019-07-06,3.4768800735473637,-0.04674420212119634,-0.021714193967215634,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.04674420212119634,0.04674420212119634,0.047744202121196344
2019-07-07,3.3143560886383057,0.0064573273357673155,-0.08764555300382637,0.06,1.0,long_only,0.0,1.0,0.0,0.0064573273357673155,0.0044573273357673155,0.0044573273357673155
2019-07-08,3.3357579708099365,-0.06679413742211793,-0.20544188952109543,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.06679413742211793,0.06479413742211793,0.06479413742211793
2019-07-09,3.1129488945007324,0.0017250974101021832,-0.003663378757375768,0.06,1.0,long_only,0.0,-1.0,0.0,0.0017250974101021832,-0.0017250974101021832,-0.0017250974101021832
2019-07-10,3.118319034576416,-0.09337689264569993,-0.06235020633922228,0.06,1.0,long_only,0.0,-1.0,-0.0,-0.09337689264569993,0.09337689264569993,0.09337689264569993
2019-07-11,2.8271400928497314,0.12263662533411313,0.269188875503237,0.06,1.0,long_only,1.0,1.0,0.12163662533411312,0.12263662533411313,0.12063662533411312,-0.0010000000000000009
2019-07-12,3.1738510131835938,-0.0010605392268805414,-0.010154930160349296,0.06,1.0,long_only,0.0,-1.0,-0.001,-0.0010605392268805414,-0.0009394607731194587,6.053922688054134e-05
2019-07-13,3.170485019683838,-0.1208348366947215,0.22742515901649396,0.06,1.0,long_only,1.0,-1.0,-0.1218348366947215,-0.1208348366947215,0.1208348366947215,0.242669673389443
2019-07-14,2.7873799800872803,-0.021126634670299738,0.41992244482020813,0.06,1.0,long_only,1.0,-1.0,-0.021126634670299738,-0.021126634670299738,0.021126634670299738,0.042253269340599475
2019-07-15,2.728492021560669,-0.19455511015477356,0.4764056294508654,0.06,1.0,long_only,1.0,-1.0,-0.19455511015477356,-0.19455511015477356,0.19455511015477356,0.3891102203095471
2019-07-16,2.197649955749512,0.08284032784196138,0.8816257205251332,0.06,1.0,long_only,1.0,1.0,0.08284032784196138,0.08284032784196138,0.08084032784196138,-0.0020000000000000018
2019-07-17,2.379703998565674,0.12580849480854117,0.5813266029993704,0.06,1.0,long_only,1.0,1.0,0.12580849480854117,0.12580849480854117,0.12580849480854117,0.0
2019-07-18,2.679090976715088,-0.026217855743770446,0.4042071103881584,0.06,1.0,long_only,1.0,-1.0,-0.026217855743770446,-0.026217855743770446,0.024217855743770444,0.05043571148754089
